,PropertyName,TopFacilities,Link
10,Signature Global City 79B,"['Swimming Pool', 'Reflexology Park', 'Gazebo', 'Banquet Hall', 'Cricket Pitch', 'Sun Deck', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool']",https://www.99acres.com/signature-global-city-79b-sector-79-gurgaon-npxid-r404401
11,DLF The Arbour,"['Swimming Pool', 'Community Hall', 'Yoga/Meditation Area', '24x7 Security', 'Club House', 'Gated Community', 'Gymnasium', 'Landscape Garden', ""Children's Play Area""]",https://www.99acres.com/dlf-the-arbour-sector-63-gurgaon-npxid-r404070
12,M3M Antalya Hills,"['Mini Theatre', 'Swimming Pool', 'Lounge', 'Reflexology Park', 'Restaurant', 'Terrace Garden', 'Sauna', 'Spa', 'Gazebo']",https://www.99acres.com/m3m-antalya-hills-sector-79-gurgaon-npxid-r402610
13,Signature Global City 81,"['Swimming Pool', 'Flower Garden', 'Jacuzzi', 'Wi-Fi Connectivity', 'Amphitheatre', 'Power Back up Lift', 'Vastu Compliant', 'Basketball Court', 'Badminton Court']",https://www.99acres.com/signature-global-city-81-sector-81-gurgaon-npxid-r380265
14,SS Linden Floors,"['Swimming Pool', 'School', 'Entrance Lobby', 'CCTV Camera Security', 'Club House', 'Gated Community', 'Landscape Garden', 'Lift(s)', 'Car Parking']",https://www.99acres.com/ss-linden-floors-sector-84-gurgaon-npxid-r383068
15,Mahindra Luminare,"['Swimming Pool', 'Card Room', 'Restaurant', 'Spa', 'Squash Court', 'Gazebo', 'Banquet Hall', 'Lawn Tennis Court', 'Amphitheatre']",https://www.99acres.com/mahindra-luminare-sector-59-gurgaon-npxid-r62235
16,M3M Golf Hills,"['Salon', 'Spa', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Entrance Lobby', 'Yoga/Meditation Area']",https://www.99acres.com/m3m-golf-hills-sector-79-gurgaon-npxid-r405181
17,Suncity Vatsal Valley,"['Earthquake Resistant', 'Vastu Compliant', 'Entrance Lobby', '24/7 Power Backup', '24/7 Water Supply', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)', 'Car Parking']",https://www.99acres.com/suncity-vatsal-valley-gwal-pahari-gurgaon-npxid-r383788
18,Whiteland Blissville,"['Lounge', 'Barbecue', 'Creche/Day care', 'Yoga/Meditation Area', 'Club House', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)']",https://www.99acres.com/whiteland-blissville-sector-76-gurgaon-npxid-r396984
19,Trump Tower,"['Valet Parking', 'Foosball', 'Concierge Service', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Laundry', 'Cigar Lounge']",https://www.99acres.com/trump-tower-sector-65-gurgaon-npxid-r296597
20,Tulip Monsella,"['Mini Theatre', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Cigar Lounge', 'Golf Course', 'School', 'Card Room', 'Restaurant']",https://www.99acres.com/tulip-monsella-sector-53-gurgaon-npxid-r390137
21,Krisumi Waterfall Residences,"['Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Salon', 'Restaurant', 'Terrace Garden', 'Pergola', 'Jacuzzi', 'Piped Gas']",https://www.99acres.com/krisumi-waterfall-residences-sector-36a-gurgaon-npxid-r331957
22,PropertyName,TopFacilities,Link
23,M3M Capital,"['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'ATM', 'Aerobics Centre', 'Restaurant', 'Sauna', 'Spa', 'Skating Rink']",https://www.99acres.com/m3m-capital-sector-113-gurgaon-npxid-r385121
24,Godrej Meridien,"['Valet Parking', 'Mini Theatre', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Flower Garden', 'Reflexology Park', 'School']",https://www.99acres.com/godrej-meridien-sector-106-gurgaon-npxid-r306651
25,La Vida by Tata Housing,"['Mini Theatre', 'Natural Pond', 'Swimming Pool', 'Card Room', 'Sauna', 'Spa', 'Squash Court', 'Cricket Pitch', 'Sun Deck']",https://www.99acres.com/la-vida-by-tata-housing-sector-113-gurgaon-npxid-r265503
26,Birla Navya,"['Mini Theatre', 'Swimming Pool', 'Football', 'Lounge', 'Business Lounge', 'Flower Garden', 'Reflexology Park', 'Conference room', 'Salon']",https://www.99acres.com/birla-navya-sector-63a-gurgaon-npxid-r351013
27,Signature Global City,"['Swimming Pool', 'Reflexology Park', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool', 'Basketball Court']",https://www.99acres.com/signature-global-city-sector-37d-gurgaon-npxid-r378934
28,Godrej 101,"['Air Hockey', 'Acupressure Park', 'Foosball', 'Swimming Pool', 'Football', 'Reading Lounge', 'Golf Course', 'Volley Ball Court', 'ATM']",https://www.99acres.com/godrej-101-sector-79-gurgaon-npxid-r213249
29,M3M Soulitude,"['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Solar Lighting', 'Aerobics Centre', 'Restaurant', 'Terrace Garden', 'Piped Gas', 'Theatre']",https://www.99acres.com/m3m-soulitude-sector-89-gurgaon-npxid-r378131
30,BPTP Terra,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Waiting Lounge', 'Fountain', 'Sun Deck', 'Toddler Pool', 'Community Hall', 'Yoga/Meditation Area', 'Rain Water Harvesting']",https://www.99acres.com/bptp-terra-sector-37d-gurgaon-npxid-r5360
31,M3M Skycity,"['Bus Shelter', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Reflexology Park', 'School', 'Aerobics Centre', 'Terrace Garden', 'High Speed Elevators']",https://www.99acres.com/m3m-skycity-sector-65-gurgaon-npxid-r326899
32,MRG The Crown,"['Swimming Pool', 'Visitors Parking', 'Skating Rink', 'Cricket Pitch', 'Basketball Court', 'Sewage Treatment Plant', 'Jogging Track', 'Club House', 'Gated Community']",https://www.99acres.com/mrg-the-crown-sector-106-gurgaon-npxid-r405486
33,Godrej Nature Plus Serenity,"['Reflexology Park', 'RO System', 'Restaurant', 'Theatre', 'Amphitheatre', 'Badminton Court', 'Entrance Lobby', 'Multipurpose Hall', 'Yoga/Meditation Area']",https://www.99acres.com/godrej-nature-plus-serenity-sector-33-sohna-gurgaon-npxid-r379974
34,SS The Leaf,"['Valet Parking', 'Swimming Pool', 'Football', 'Business Lounge', 'Medical Centre', 'Flower Garden', 'School', 'Squash Court', 'Wi-Fi Connectivity']",https://www.99acres.com/ss-the-leaf-sector-85-gurgaon-npxid-r5098
35,Eldeco Acclaim,"['Swimming Pool', 'Restaurant', 'Piped Gas', 'Squash Court', 'Gazebo', 'Property Staff', 'Billiards', 'Sun Deck', 'Lawn Tennis Court']",https://www.99acres.com/eldeco-acclaim-sohna-gurgaon-npxid-r369999
36,Emaar Gurgaon Greens,"['Swimming Pool', 'Flower Garden', 'Golf Course', 'Solar Lighting', 'Pergola', 'Property Staff', 'Cafeteria', 'Fountain', 'Lawn Tennis Court']",https://www.99acres.com/emaar-gurgaon-greens-sector-102-gurgaon-npxid-r2066
37,Oxirich Chintamanis,"['Swimming Pool', 'Entrance Lobby', 'Yoga/Meditation Area', '24/7 Power Backup', 'Gated Community', 'Gymnasium', ""Children's Play Area"", 'Car Parking']",https://www.99acres.com/oxirich-chintamanis-sector-103-gurgaon-npxid-r405511
38,DLF Garden City Floors,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'School', 'Spa', 'Grocery Shop', 'Squash Court', 'Shopping Centre', 'Power Back up Lift', 'CCTV Camera Security']",https://www.99acres.com/dlf-garden-city-floors-sector-92-gurgaon-npxid-r376177
39,Anant Raj Estates,"['Swimming Pool', 'Golf Course', 'Salon', 'Restaurant', 'Spa', 'Water Softener Plant', 'Grocery Shop', 'Shopping Centre', 'Cricket Pitch']",https://www.99acres.com/anant-raj-estates-sector-63a-gurgaon-npxid-r2862
40,Tulip Yellow,"['Swimming Pool', 'High Speed Elevators', 'Waiting Lounge', 'Skating Rink', 'Grocery Shop', 'Wi-Fi Connectivity', 'Cafeteria', 'Fountain', 'Cricket Pitch']",https://www.99acres.com/tulip-yellow-sector-69-gurgaon-npxid-r344503
41,BPTP Amstoria,"['Swimming Pool', 'Business Lounge', 'Golf Course', 'Barbecue', 'Restaurant', 'Pergola', 'Spa', 'Squash Court', 'Theatre']",https://www.99acres.com/bptp-amstoria-sector-102-gurgaon-npxid-r26134
42,Emaar Emerald Hills,"['Milk Booth', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Changing Area', 'School', 'Aerobics Centre', 'Card Room', 'Restaurant']",https://www.99acres.com/emaar-emerald-hills-sector-65-gurgaon-npxid-r32692
43,M3M Golfestate,"['Mini Theatre', 'Doctor on Call', 'Beach Volley Ball Court', 'Air Hockey', 'Automated Car Wash', 'Clinic', 'Foosball', 'Concierge Service', 'Car wash area']",https://www.99acres.com/m3m-golfestate-sector-65-gurgaon-npxid-r1030
44,ATS Triumph,"['Concierge Service', 'Swimming Pool', 'Changing Area', 'ATM', 'Sauna', 'Water Softener Plant', 'Skating Rink', 'Wi-Fi Connectivity', 'Property Staff']",https://www.99acres.com/ats-triumph-sector-104-gurgaon-npxid-r25860
45,ATS Marigold,"['Swimming Pool', 'Reflexology Park', 'Squash Court', 'Shopping Centre', 'Lawn Tennis Court', 'Power Back up Lift', 'Community Hall', 'Basketball Court', 'Entrance Lobby']",https://www.99acres.com/ats-marigold-sector-89-a-gurgaon-npxid-r10548
46,Signature Global City 37D Ph 2,"['Swimming Pool', 'Shopping Centre', 'Sun Deck', 'Yoga/Meditation Area', 'Sewage Treatment Plant', 'Jogging Track', 'Rain Water Harvesting', 'Club House', '24/7 Power Backup']",https://www.99acres.com/signature-global-city-37d-ph-2-sector-37d-gurgaon-npxid-r396484
47,DLF Alameda,"['Clinic', 'Swimming Pool', 'Medical Centre', 'School', 'Card Room', 'Restaurant', 'Squash Court', 'Theatre', 'Gazebo']",https://www.99acres.com/dlf-alameda-sector-73-gurgaon-npxid-r1229
48,Experion Windchants,"['Mini Theatre', 'Air Hockey', 'Foosball', 'Natural Pond', 'Swimming Pool', 'Reading Lounge', 'Conference room', 'Solar Lighting', 'Card Room']",https://www.99acres.com/experion-windchants-sector-112-gurgaon-npxid-r4342
49,Saan Verdante,"['Automated Car Wash', 'Swimming Pool', 'Laundry', 'Reading Lounge', 'Card Room', 'Restaurant', 'Piped Gas', 'Property Staff', 'Cafeteria']",https://www.99acres.com/saan-verdante-sector-95-gurgaon-npxid-r146207
50,4S Aradhya Homes,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Terrace Garden', 'Piped Gas', 'Cafeteria', 'Table Tennis', 'Badminton Court', 'Jogging Track', 'Club House']",https://www.99acres.com/4s-aradhya-homes-sector-67a-gurgaon-npxid-r374154
51,Yash Vihar,"['Solar Lighting', 'Pergola', 'Skating Rink', 'Fountain', 'Shopping Centre', 'Cricket Pitch', 'Amphitheatre', 'Sewage Treatment Plant', 'CCTV Camera Security']",https://www.99acres.com/yash-vihar-pataudi-gurgaon-npxid-r371696
52,Smart World Orchard,"['Mini Theatre', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Conference room', 'Salon', 'Aerobics Centre', 'Visitors Parking']",https://www.99acres.com/smart-world-orchard-sector-61-gurgaon-npxid-r376088
53,DLF The Camellias,"['Concierge Service', 'Swimming Pool', 'Golf Course', 'Visitors Parking', 'Restaurant', 'Waiting Lounge', 'Sauna', 'Spa', 'Water Softener Plant']",https://www.99acres.com/dlf-the-camellias-sector-42-gurgaon-npxid-r129601
54,Birla Navya Avik,"['Football', 'Skating Rink', 'Cricket Pitch', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Gymnasium', 'Landscape Garden']",https://www.99acres.com/birla-navya-avik-sector-63a-gurgaon-npxid-r409743
55,Adani Samsara Avasa,"['Natural Pond', 'Swimming Pool', 'Terrace Garden', 'Pergola', 'Sauna', 'Spa', 'Fountain', 'Sun Deck', 'Video Door Security']",https://www.99acres.com/adani-samsara-avasa-sector-63-gurgaon-npxid-r403842
56,DLF The Crest,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Salon', 'Card Room', 'Solar Water Heating', 'Restaurant', 'Spa']",https://www.99acres.com/dlf-the-crest-sector-54-gurgaon-npxid-r8664
57,DLF The Magnolias,"['Mini Theatre', 'Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Salon', 'Restaurant', 'Spa', 'Water Softener Plant']",https://www.99acres.com/dlf-the-magnolias-sector-42-gurgaon-npxid-r660
58,DLF The Aralias,"['Concierge Service', 'Swimming Pool', 'Restaurant', 'Spa', 'Skating Rink', 'Squash Court', 'Theatre', 'Pool Table', 'Property Staff']",https://www.99acres.com/dlf-the-aralias-sector-42-gurgaon-npxid-r12158
59,Ansal API Esencia,"['Swimming Pool', 'Laundry', 'School', 'Solar Lighting', 'Terrace Garden', 'Creche/Day care', 'Grocery Shop', 'Shopping Centre', 'Video Door Security']",https://www.99acres.com/ansal-api-esencia-sector-67-gurgaon-npxid-r3568
60,Pioneer Araya,"['Foosball', 'Concierge Service', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Reading Lounge', 'Salon', 'Card Room']",https://www.99acres.com/pioneer-araya-sector-62-gurgaon-npxid-r1325
61,M3M Merlin,"['Beach Volley Ball Court', 'Automated Car Wash', 'Swimming Pool', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Golf Course', 'Volley Ball Court', 'Salon']",https://www.99acres.com/m3m-merlin-sector-67-gurgaon-npxid-r1191
62,Smart World Gems,"['Swimming Pool', 'Lounge', 'Aerobics Centre', 'Terrace Garden', 'Piped Gas', 'Squash Court', 'Gazebo', 'Wi-Fi Connectivity', 'Sun Deck']",https://www.99acres.com/smart-world-gems-sector-89-gurgaon-npxid-r378133
63,Vatika Aspiration,"['Grocery Shop', 'Community Hall', 'Sewage Treatment Plant', 'Rain Water Harvesting', 'Gated Community', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Internal Street Lights']",https://www.99acres.com/vatika-aspiration-sector-88b-gurgaon-npxid-r401506
64,Ace Palm Floors,"['Swimming Pool', 'Fountain', 'Sun Deck', 'Amphitheatre', 'Yoga/Meditation Area', 'Club House', 'Gated Community', 'Landscape Garden', ""Children's Play Area""]",https://www.99acres.com/ace-palm-floors-sector-89-gurgaon-npxid-r375877
65,DLF Gardencity Enclave,"['Shopping Centre', 'Community Hall', 'Sewage Treatment Plant', '24x7 Security', 'Club House', ""Children's Play Area"", 'Internal Street Lights', 'Fire Fighting Systems']",https://www.99acres.com/dlf-gardencity-enclave-sector-93-gurgaon-npxid-r392732
66,Emaar Palm Heights,"['Swimming Pool', 'Waiting Lounge', 'Creche/Day care', 'Sun Deck', 'Lawn Tennis Court', 'Toddler Pool', 'Basketball Court', 'Badminton Court', 'Entrance Lobby']",https://www.99acres.com/emaar-palm-heights-sector-77-gurgaon-npxid-r319909
67,Signature Global Park,"['Swimming Pool', 'Gazebo', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Jogging Track', 'Gymnasium']",https://www.99acres.com/signature-global-park-sohna-gurgaon-npxid-r330597
68,Emaar MGF Marbella,"['Bowling Alley', 'Mini Theatre', 'Concierge Service', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Changing Area', 'Salon']",https://www.99acres.com/emaar-mgf-marbella-sector-66-gurgaon-npxid-r1134
69,Rishali Luxe Residency 112,"['Community Hall', 'Sewage Treatment Plant', 'Rain Water Harvesting', 'Club House', '24/7 Power Backup', 'Gated Community', '24/7 Water Supply', ""Children's Play Area"", 'Garbage Disposal']",https://www.99acres.com/rishali-luxe-residency-112-sector-112-gurgaon-npxid-r409012
70,Puri The Aravallis,"['Foosball', 'Infinity Pool', 'Swimming Pool', 'Football', 'Jacuzzi', 'Cricket Pitch', 'Sun Deck', 'Lawn Tennis Court', 'Amphitheatre']",https://www.99acres.com/puri-the-aravallis-sector-61-gurgaon-npxid-r396420
71,International City by SOBHA Phase 2,"['Swimming Pool', 'Theater Home', 'School', 'Solar Lighting', 'Restaurant', 'Terrace Garden', 'Jacuzzi', 'Piped Gas', 'Squash Court']",https://www.99acres.com/international-city-by-sobha-phase-2-sector-109-gurgaon-npxid-r259717
72,Emaar MGF The Palm Drive,"['Swimming Pool', 'Theater Home', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Reading Lounge', 'Reflexology Park', 'Golf Course', 'Changing Area', 'School']",https://www.99acres.com/emaar-mgf-the-palm-drive-sector-66-gurgaon-npxid-r19
73,BPTP Green Oaks,"['Community Hall', 'Club House', 'Landscape Garden']",https://www.99acres.com/bptp-green-oaks-sector-70a-gurgaon-npxid-r382679
74,Puri Emerald Bay,"['Swimming Pool', 'Theatre', 'Wi-Fi Connectivity', 'Cafeteria', 'Billiards', 'Lawn Tennis Court', 'Video Door Security', 'Multipurpose Court', 'Amphitheatre']",https://www.99acres.com/puri-emerald-bay-sector-104-gurgaon-npxid-r5456
75,Ireo Victory Valley,"['Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Conference room', 'School', 'Salon']",https://www.99acres.com/ireo-victory-valley-sector-67-gurgaon-npxid-r871
76,DLF Gardencity,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'School', 'Restaurant', 'Spa', 'Squash Court', 'Theatre', 'Cafeteria', 'Fountain']",https://www.99acres.com/dlf-gardencity-sector-91-gurgaon-npxid-r1193
77,Tata Primanti,"['Swimming Pool', 'Changing Area', 'School', 'Card Room', 'Restaurant', 'Sauna', 'Jacuzzi', 'Piped Gas', 'Steam Room']",https://www.99acres.com/tata-primanti-sector-72-gurgaon-npxid-r1148
78,DLF Park Place,"['Mini Theatre', 'Swimming Pool', 'Theater Home', 'Business Lounge', 'Laundry', 'Changing Area', 'School', 'Salon', 'RO System']",https://www.99acres.com/dlf-park-place-sector-54-gurgaon-npxid-r8
79,Central Park Flower Valley,"['Swimming Pool', 'Reading Lounge', 'Reflexology Park', 'Golf Course', 'Aerobics Centre', 'Sauna', 'Jacuzzi', 'Steam Room', 'Creche/Day care']",https://www.99acres.com/central-park-flower-valley-sector-33-sohna-gurgaon-npxid-r22052
80,Ireo Skyon,"['Swimming Pool', 'Golf Course', 'Changing Area', 'School', 'Restaurant', 'High Speed Elevators', 'Piped Gas', 'Steam Room', 'Squash Court']",https://www.99acres.com/ireo-skyon-sector-60-gurgaon-npxid-r1147
81,AIPL The Peaceful Homes,"['Automated Car Wash', 'Concierge Service', 'Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Reading Lounge', 'Golf Course', 'Volley Ball Court', 'Salon']",https://www.99acres.com/aipl-the-peaceful-homes-sector-70a-gurgaon-npxid-r3480
82,Adani M2K Oyster Grande,"['Swimming Pool', 'Changing Area', 'School', 'Salon', 'ATM', 'Aerobics Centre', 'Card Room', 'Solar Water Heating', 'Waiting Lounge']",https://www.99acres.com/adani-m2k-oyster-grande-sector-102-gurgaon-npxid-r4904
83,G99,"['Milk Booth', 'Manicured Garden', 'Swimming Pool', 'Football', 'Flower Garden', 'School', 'Restaurant', 'Pergola', 'Skating Rink']",https://www.99acres.com/g99-sector-99-gurgaon-npxid-r1561
84,Emaar MGF Emerald Floors Premier,"['Clinic', 'Swimming Pool', 'School', 'Piped Gas', 'Creche/Day care', 'Theatre', 'Shopping Centre', 'Lawn Tennis Court', 'Jogging Track']",https://www.99acres.com/emaar-mgf-emerald-floors-premier-sector-65-gurgaon-npxid-r652
85,ROF Insignia Park,"['Swimming Pool', 'Skating Rink', 'Grocery Shop', 'Gazebo', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Basketball Court', 'Badminton Court']",https://www.99acres.com/rof-insignia-park-sector-93-gurgaon-npxid-r383406
86,DLF The Ultima,"['Mini Theatre', 'Swimming Pool', 'Theater Home', 'Football', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Changing Area']",https://www.99acres.com/dlf-the-ultima-sector-81-gurgaon-npxid-r7182
87,Indiabulls Enigma,"['Swimming Pool', 'Aerobics Centre', 'Barbecue', 'Restaurant', 'Pergola', 'Spa', 'Pool Table', 'Cafeteria', 'Sun Deck']",https://www.99acres.com/indiabulls-enigma-sector-110-gurgaon-npxid-r31904
88,Experion The Westerlies,"['Swimming Pool', 'Reflexology Park', 'Barbecue', 'Terrace Garden', 'Gazebo', 'Fountain', 'Sun Deck', 'Amphitheatre', 'Power Back up Lift']",https://www.99acres.com/experion-the-westerlies-sector-108-gurgaon-npxid-r18410
89,Hero Homes,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Reading Lounge', 'Reflexology Park', 'Card Room', 'Barbecue', 'Restaurant', 'Sauna', 'Spa']",https://www.99acres.com/hero-homes-sector-104-gurgaon-npxid-r318679
90,Central Park Flower Valley Mikasa Plots,"['Bowling Alley', 'Concierge Service', 'Swimming Pool', 'Lounge', 'Medical Centre', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Golf Course']",https://www.99acres.com/central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-npxid-r308685
91,M3M Skywalk,"['Concierge Service', 'Swimming Pool', 'Lounge', 'Golf Course', 'Changing Area', 'Aerobics Centre', 'Restaurant', 'High Speed Elevators', 'Waiting Lounge']",https://www.99acres.com/m3m-skywalk-sector-74-gurgaon-npxid-r368291
92,Ireo The Grand Arch,"['Bowling Alley', 'Swimming Pool', 'Football', 'Restaurant', 'Waiting Lounge', 'Piped Gas', 'Water Softener Plant', 'Creche/Day care', 'Squash Court']",https://www.99acres.com/ireo-the-grand-arch-sector-58-gurgaon-npxid-r659
93,JMS The Nation,"['Yoga/Meditation Area', 'Gated Community', ""Children's Play Area""]",https://www.99acres.com/jms-the-nation-sector-95-gurgaon-npxid-r389082
94,Imperia The Esfera,"['Food Court', 'Swimming Pool', 'Reading Lounge', 'Aerobics Centre', 'Restaurant', 'Water Softener Plant', 'Property Staff', 'Banquet Hall', 'Library']",https://www.99acres.com/imperia-the-esfera-sector-37c-gurgaon-npxid-r1580
95,Ramprastha Primera,"['Swimming Pool', 'Water Softener Plant', 'Theatre', 'Shopping Centre', 'Video Door Security', 'Multipurpose Court', 'Vastu Compliant', 'Multipurpose Hall', 'Yoga/Meditation Area']",https://www.99acres.com/ramprastha-primera-sector-37d-gurgaon-npxid-r4640
96,Experion The Heartsong,"['Manicured Garden', 'Bus Shelter', 'Clinic', 'Natural Pond', 'Car wash area', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Reading Lounge']",https://www.99acres.com/experion-the-heartsong-sector-108-gurgaon-npxid-r6502
97,DLF New Town Heights 2,"['Swimming Pool', 'Pergola', 'Piped Gas', 'Grocery Shop', 'Cafeteria', 'Fountain', 'Sun Deck', 'Lawn Tennis Court', 'Multipurpose Court']",https://www.99acres.com/dlf-new-town-heights-2-sector-86-gurgaon-npxid-r23690
98,DLF The Primus,"['Swimming Pool', 'School', 'Aerobics Centre', 'Restaurant', 'Pergola', 'Waiting Lounge', 'Sauna', 'Steam Room', 'Squash Court']",https://www.99acres.com/dlf-the-primus-sector-82a-gurgaon-npxid-r4470
99,DLF The Skycourt,"['Swimming Pool', 'Flower Garden', 'School', 'Solar Lighting', 'Card Room', 'Solar Water Heating', 'Restaurant', 'Terrace Garden', 'Piped Gas']",https://www.99acres.com/dlf-the-skycourt-sector-86-gurgaon-npxid-r6136
100,Central Park Resorts,"['Swimming Pool', 'Golf Course', 'ATM', 'Restaurant', 'Waiting Lounge', 'Cafeteria', 'Shopping Centre', 'Video Door Security', 'Multipurpose Court']",https://www.99acres.com/central-park-resorts-sector-48-gurgaon-npxid-r6802
101,Suncity Avenue 76,"['School', 'High Speed Elevators', 'Creche/Day care', 'Shopping Centre', 'Cricket Pitch', 'Amphitheatre', 'Earthquake Resistant', 'Power Back up Lift', 'Party Lawn']",https://www.99acres.com/suncity-avenue-76-sector-76-gurgaon-npxid-r343747
102,International City by Sobha Phase 1,"['Infinity Pool', 'Swimming Pool', 'Salon', 'Aerobics Centre', 'Card Room', 'Restaurant', 'Terrace Garden', 'Pergola', 'Sauna']",https://www.99acres.com/international-city-by-sobha-phase-1-sector-109-gurgaon-npxid-r1204
103,Ambience Creacions,"['Doctor on Call', 'Bus Shelter', 'Food Court', 'Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Medical Centre', 'Flower Garden']",https://www.99acres.com/ambience-creacions-sector-22-gurgaon-npxid-r39908
